Section,Service,Line Item,Region,Unit,Qty (Monthly),Unit Price USD,Estimated Monthly USD,Notes
Assumptions,Exchange Rate,USD to INR,ap-south-1,rate,83,,,"Update with current FX rate"
Compute,ECS Fargate,Web service vCPU,ap-south-1,vCPU-hours,730,0.04937,36.04,"Example: 1 vCPU effective avg"
Compute,ECS Fargate,Web service memory,ap-south-1,GB-hours,1460,0.005426,7.92,"Example: 2 GB effective avg"
Compute,ECS Fargate,ML worker vCPU,ap-south-1,vCPU-hours,730,0.04937,36.04,"Example: 1 vCPU effective avg"
Compute,ECS Fargate,ML worker memory,ap-south-1,GB-hours,1460,0.005426,7.92,"Example: 2 GB effective avg"
Compute,ECS Fargate,ML inference vCPU,ap-south-1,vCPU-hours,730,0.04937,36.04,"Example: 1 vCPU effective avg"
Compute,ECS Fargate,ML inference memory,ap-south-1,GB-hours,1460,0.005426,7.92,"Example: 2 GB effective avg"
Database,RDS PostgreSQL,DB instance (db.t4g.micro),ap-south-1,instance-hours,730,0.020,14.60,"Replace with your exact class pricing"
Database,RDS PostgreSQL,Storage (gp3),ap-south-1,GB-month,20,0.138,2.76,"Increase if DB grows"
Database,RDS PostgreSQL,Backup storage,ap-south-1,GB-month,20,0.095,1.90,"Depends on retention and churn"
Cache,ElastiCache Redis,Node (cache.t4g.micro),ap-south-1,node-hours,730,0.017,12.41,"Single node estimate"
Network,Application Load Balancer,ALB hourly,ap-south-1,hours,730,0.027,19.71,"Base ALB hourly"
Network,Application Load Balancer,ALB LCU usage,ap-south-1,LCU-hours,730,0.008,5.84,"Adjust based on traffic"
Network,NAT Gateway,NAT hourly,ap-south-1,hours,730,0.058,42.34,"Major cost driver if enabled"
Network,NAT Gateway,NAT data processing,ap-south-1,GB,50,0.058,2.90,"Adjust by outbound private subnet traffic"
Network,Data Transfer,Internet egress,ap-south-1,GB,100,0.114,11.40,"Large images/reports can increase this"
Observability,CloudWatch,Log ingestion,ap-south-1,GB,20,0.575,11.50,"Tune by log volume"
Observability,CloudWatch,Log storage,ap-south-1,GB-month,30,0.034,1.02,"Depends on retention"
Observability,CloudWatch,Custom metrics + alarms,ap-south-1,count,30,0.30,9.00,"Rough combined estimate"
Container Registry,ECR,ECR storage,ap-south-1,GB-month,10,0.11,1.10,"Clean old images to reduce spend"
Security,Secrets Manager,Secrets stored,ap-south-1,secrets,10,0.40,4.00,"Plus API calls"
Security,Secrets Manager,API calls,ap-south-1,10k API calls,1,0.05,0.05,"Usually small"
Notifications,SNS,SNS notifications,ap-south-1,million requests,0.1,0.50,0.05,"Alarms and email notifications"
Optional,Cloudflare Pro,Zone plan,global,month,1,20.00,20.00,"If using paid Cloudflare plan"
Optional,Sentry,Team plan,global,month,1,26.00,26.00,"If paid Sentry is enabled"
Totals,Subtotal (Current),All current line items,ap-south-1,USD,1,,290.46,"Sum of Estimated Monthly USD (update after edits)"
Totals,Contingency Buffer,10 percent buffer,ap-south-1,USD,1,,29.05,"Recommended to absorb traffic variance"
Totals,Projected Total USD,Subtotal + buffer,ap-south-1,USD,1,,319.51,"Use this for planning"
Totals,Projected Total INR,USD total * FX rate,ap-south-1,INR,1,,26519.33,"At FX 83; update rate monthly"
Future Scale,Autoscaling uplift,ECS scale-out premium,ap-south-1,USD,1,,120.00,"Add if worker/web frequently scale up"
Future Scale,Future Total USD,Projected total + scale uplift,ap-south-1,USD,1,,439.51,"Growth scenario"
Future Scale,Future Total INR,Future USD * FX rate,ap-south-1,INR,1,,36479.33,"Growth scenario INR"
